project,projectName,amount,amount above min,percentage,base,incremental,total
l2beat,L2BEAT,27814070970,11741738345,9.96%,"$10,000","$29,895","$39,895"
defi-llama,DefiLlama,24870814142,8798481517,7.47%,"$10,000","$22,401","$32,401"
blockscout,Blockscout Open-Source Block Explorer,24142620127,8070287502,6.85%,"$10,000","$20,547","$30,547"
revoke-cash,Revoke.cash,24061443039,7989110414,6.78%,"$10,000","$20,341","$30,341"
heyxyz,Hey.xyz (formerly Lenster),23766981044,7694648419,6.53%,"$10,000","$19,591","$29,591"
giveth,Giveth,23536126980,7463794355,6.33%,"$10,000","$19,003","$29,003"
dappnode,Dappnode,22485655653,6413323028,5.44%,"$10,000","$16,329","$26,329"
ethereum-attestation-service,Ethereum Attestation Service (EAS),21390062168,5317729543,4.51%,"$10,000","$13,539","$23,539"
ethstaker,EthStaker,21294166712,5221834087,4.43%,"$10,000","$13,295","$23,295"
wevm,Viem,21215091856,5142759231,4.36%,"$10,000","$13,094","$23,094"
rotki,rotki,21200266070,5127933445,4.35%,"$10,000","$13,056","$23,056"
ethers-io,ethers.js,21148509326,5076176701,4.31%,"$10,000","$12,924","$22,924"
zkemail,ZK Email,20481121374,4408788749,3.74%,"$10,000","$11,225","$21,225"
poapin-glory-lab,POAPin,19823908442,3751575817,3.18%,"$10,000","$9,552","$19,552"
idriss-crypto,IDRISS,19239905238,3167572613,2.69%,"$10,000","$8,065","$18,065"
hypercerts,Hypercerts Foundation,19116542649,3044210024,2.58%,"$10,000","$7,751","$17,751"
tapexyz,Tape (formerly Lenstube),18735333381,2663000756,2.26%,"$10,000","$6,780","$16,780"
beacon-chain,beaconcha.in,18451284446,2378951821,2.02%,"$10,000","$6,057","$16,057"
jobstash,JobStash,18358491783,2286159158,1.94%,"$10,000","$5,821","$15,821"
fundingthecommons,Funding the Commons,18296762379,2224429754,1.89%,"$10,000","$5,663","$15,663"
datonic,Gitcoin Grants Data Portal,18261463773,2189131148,1.86%,"$10,000","$5,574","$15,574"
0xfacet,Facet,17973908965,1901576340,1.61%,"$10,000","$4,841","$14,841"
citizenwallet,Citizen Wallet,17358533982,1286201357,1.09%,"$10,000","$3,275","$13,275"
shapeshift,ShapeShift DAO,17349978447,1277645822,1.08%,"$10,000","$3,253","$13,253"
carmineoptions,Carmine Options AMM,17286429336,1214096711,1.03%,"$10,000","$3,091","$13,091"
zkp2p,ZKP2P Markets,17246156154,1173823529,1.00%,"$10,000","$2,989","$12,989"
tor-project,The Tor Project,16581910205,509577580,0.43%,"$10,000","$1,297","$11,297"
zaratandotworld,Chore Wheel,16287302503,214969878,0.18%,"$10,000",$547,"$10,547"
glo-foundation,Glo Dollar,16152826231,80493606,0.07%,"$10,000",$205,"$10,205"
kleo-network,Kleo Network,16072332625,0,0.00%,"$10,000",$0,"$10,000"
