project,gmv_growth,scaling_community_rounds,donor_retention_rate,unique_donor_growth,network_contribution_score,current_active_developers,developer_retention_rate,contributor_onboarding_rate
l2beat,94956.0,0,1944,7982,18,34,8.6,28
defi-llama,87210.0,1,3595,12748,14,14,14.6,3
ethstaker,80640.0,0,1325,5247,21,8,12.3,3
wevm,77887.0,2,143,1774,25,7,9.8,6
ethereum-attestation-service,74703.0,1,379,3301,24,2,17.8,0
ethers-io,68591.0,1,414,3091,25,1,18.0,0
dappnode,65514.0,0,523,5484,23,23,10.2,9
blockscout,60766.0,2,263,3880,20,25,12.4,14
revoke-cash,59815.0,1,5861,15296,13,1,18.1,0
heyxyz,59815.0,2,7083,18376,11,2,9.8,2
idriss-crypto,42154.0,0,3364,8290,16,5,8.8,2
rotki,37402.0,5,118,1292,24,8,12.4,3
zkemail,36634.0,0,248,3565,24,17,7.7,15
beacon-chain,35079.0,1,154,2060,26,11,7.5,3
0xfacet,34179.0,0,373,5339,15,2,14.3,2
giveth,33529.0,5,213,2210,28,25,8.6,10
tor-project,29750.0,0,237,3854,22,4,7.0,2
tapexyz,27932.0,1,1272,2849,18,1,16.0,1
poapin-glory-lab,23237.0,3,982,4186,21,1,16.1,0
hypercerts,21321.0,3,168,3909,26,4,10.3,3
citizenwallet,20931.0,0,96,2241,30,7,7.3,4
fundingthecommons,17893.0,4,34,297,37,3,4.1,3
zaratandotworld,15988.0,0,228,1420,21,1,12.0,1
carmineoptions,15056.0,0,327,2791,18,8,11.5,4
datonic,14975.0,1,49,1684,26,1,16.8,0
glo-foundation,14673.0,2,92,875,27,5,4.5,0
shapeshift,12796.0,0,102,2255,23,9,12.2,1
kleo-network,10169.0,1,184,2780,24,4,6.2,2
jobstash,10037.0,2,15,346,29,7,9.0,7
zkp2p,7228.0,1,44,519,24,3,14.1,1
